year,female,male
2020,22,35
2006,11,49
2007,14,45
2008,11,42
2009,7,50
2010,17,36
2011,12,46
2012,13,35
2013,20,39
2014,22,41
2015,19,43
2016,21,44
2017,19,43
2018,20,41
2019,18,41
2005,15,41
2004,13,43
2003,11,43
2002,13,35
2001,8,40
2000,9,46
1999,8,43
1998,15,43
1997,10,46
1996,13,48
1995,12,36
1994,17,32
1993,8,30
1992,8,29
1991,7,24
1990,7,25
1989,6,22
1988,3,29
1987,3,28
1986,0,19
1985,4,15
1984,3,22
1983,6,30
1982,4,25
1981,5,31
1980,3,16
1979,4,26
1978,2,16
1977,3,19
1976,3,24
1975,2,24
1974,8,27
1973,2,34
1972,5,37
1971,2,33
1970,4,38
1969,3,32
1968,2,33
1967,2,31
1966,3,29
1965,1,39
1964,3,31
1963,0,39
1962,2,26
1961,3,26
1960,2,21
1959,0,21
1958,1,20
1957,0,18
1956,0,17
1955,0,18
1954,1,11
1953,2,25
1952,0,28
1951,2,18
1950,0,15
1949,3,16
1948,0,4
1947,0,6
1946,2,7
1945,2,9
1944,2,8
1943,0,10
1942,1,9
1941,0,6
1940,1,4
1939,1,9
1938,0,0
1937,0,6
1936,0,3
1935,0,3
1934,0,2
1933,0,2
1932,0,1
1931,0,3
1930,0,2
1929,0,0
1928,0,2
1927,0,3
1926,0,2
1925,0,0
1924,0,2
1923,0,5
1922,0,16
1921,1,10
1920,0,6
1919,1,3
1918,0,0
1917,0,9
1916,0,11
1915,0,0
1914,0,23